title,text,label
Researchers Publish Study on Renewable Energy Efficiency,"The project was funded through a combination of public and private resources, according to a spokesperson. Construction is expected to be completed within the projected timeline.",REAL
Regional Airport Completes Runway Expansion Project,"Officials said the decision follows months of review and public consultation. The measure is expected to take effect in the coming weeks, with further updates to be announced through official channels.",REAL
Automaker Announces Recall for Faulty Brake Component,"Analysts attributed the change to a combination of factors, including seasonal trends and recent policy adjustments. The organization said it will continue monitoring the situation closely.",REAL
Man Claims He Spoke to Ghost of Former President on Live Radio,"Although no scientific evidence supports the claim, the story has gone viral online, with many users sharing it without verifying the original source or checking official records.",FAKE
Scientists Discover New Species of Deep-Sea Fish,Local residents were invited to attend public forums to discuss the proposal before it was finalized. Officials said community feedback played an important role in shaping the final plan.,REAL
Local Government Approves Affordable Housing Project,The agency confirmed the figures were verified through standard auditing procedures. A detailed breakdown of the data will be made available on the official website.,REAL
Local School District Adds New STEM Curriculum,Local residents were invited to attend public forums to discuss the proposal before it was finalized. Officials said community feedback played an important role in shaping the final plan.,REAL
New Diet Trend Promises Weight Loss From Sleeping Only,"Despite lacking any peer-reviewed research or verified data, the sensational claim continues to circulate widely, fueled by dramatic headlines and emotionally charged social media posts.",FAKE
Local Woman Claims Her Cat Can Predict Stock Market Crashes,"According to anonymous sources who wish to remain unnamed, the shocking claim has spread rapidly across social media despite no official confirmation from any credible authority or institution.",FAKE
International Summit Focuses on Trade Cooperation,"Analysts attributed the change to a combination of factors, including seasonal trends and recent policy adjustments. The organization said it will continue monitoring the situation closely.",REAL
Local Council Approves New Public Transport Budget,"Officials said the decision follows months of review and public consultation. The measure is expected to take effect in the coming weeks, with further updates to be announced through official channels.",REAL
New Public Library Branch Opens in Downtown Area,"Analysts attributed the change to a combination of factors, including seasonal trends and recent policy adjustments. The organization said it will continue monitoring the situation closely.",REAL
State Legislature Approves Infrastructure Spending Plan,"According to the report, the data was collected over several months and reviewed by independent analysts before publication. Authorities noted that additional findings will be released as the study continues.",REAL
"Ancient Alien Base Discovered Under City Hall, Officials Cover Up","Sources close to the matter, who could not be officially identified, allege that the information has been deliberately hidden from the public, though no documentation has been provided to confirm this.",FAKE
Company Launches New Electric Vehicle Model,"The announcement was made during a press briefing attended by department representatives. Officials emphasized that the plan will be implemented gradually, with regular progress updates provided to the public.",REAL
"Aliens Secretly Running Major World Bank, Leaked Docs Show","Sources close to the matter, who could not be officially identified, allege that the information has been deliberately hidden from the public, though no documentation has been provided to confirm this.",FAKE
Health Officials Recommend Updated Vaccination Schedule,Experts reviewed the findings and confirmed the methodology used was consistent with established scientific standards. The full report is expected to be published in an upcoming journal issue.,REAL
Doctors Hate Him: Man Cures Cancer With Kitchen Spice,"The story cites an unnamed insider and provides no verifiable documentation, yet it has been widely shared online as if it were confirmed fact by multiple unrelated accounts.",FAKE
City Announces Plan to Upgrade Water Treatment Facilities,"The announcement was made during a press briefing attended by department representatives. Officials emphasized that the plan will be implemented gradually, with regular progress updates provided to the public.",REAL
